Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,46.099998,46.230000,45.299999,45.580002,45.096889,148000
2021-09-14,45.500000,45.529999,45.009998,45.169998,44.691235,164700
2021-09-15,45.020000,45.700001,45.020000,45.270000,44.790176,136000
2021-09-16,45.700001,46.180000,45.590000,46.000000,45.512440,171900
2021-09-17,46.119999,46.200001,45.450001,45.759998,45.274982,281500
2021-09-20,44.970001,45.959999,44.630001,44.910000,44.433994,216900
2021-09-21,45.000000,45.250000,42.560001,42.650002,42.197948,256600
2021-09-22,42.860001,43.959999,42.450001,43.419998,42.959782,180600
2021-09-23,43.599998,44.169998,43.500000,43.900002,43.434696,168400
2021-09-24,43.759998,44.720001,43.500000,44.200001,43.731522,144300
2021-09-27,44.250000,45.330002,44.250000,44.950001,44.473572,151900
2021-09-28,45.040001,45.290001,44.410000,44.470001,43.998657,128000
2021-09-29,44.599998,45.070000,44.130001,44.779999,44.305367,179700
2021-09-30,44.980000,45.860001,44.480000,44.590000,44.117386,168800
2021-10-01,44.910000,45.410000,44.290001,45.160000,44.681339,84500
2021-10-04,45.150002,45.150002,44.450001,44.639999,44.166851,75200
2021-10-05,44.669998,45.549999,43.869999,45.020000,44.542828,131900
2021-10-06,44.529999,45.310001,44.150002,45.169998,44.691235,69500
2021-10-07,45.389999,45.959999,45.279999,45.669998,45.185936,46300
2021-10-08,45.730000,45.970001,45.400002,45.660000,45.176044,32100
2021-10-11,45.660000,46.150002,45.389999,45.570000,45.086994,32200
2021-10-12,45.779999,46.049999,45.209999,45.619999,45.136463,143900
2021-10-13,45.810001,45.919998,45.169998,45.250000,44.770390,27900
2021-10-14,45.560001,45.980000,44.849998,44.950001,44.473572,81000
2021-10-15,45.610001,45.630001,44.160000,44.160000,43.691940,110500
2021-10-18,44.150002,45.310001,44.000000,45.020000,44.542828,111100
2021-10-19,45.279999,45.279999,44.049999,44.150002,43.682049,43200
2021-10-20,43.950001,44.630001,43.810001,43.990002,43.523746,39600
2021-10-21,44.150002,44.540001,44.080002,44.240002,43.771091,91100
2021-10-22,44.400002,44.880001,43.910000,44.230000,43.761200,110900
2021-10-25,44.540001,44.959999,43.380001,43.970001,43.503956,105300
2021-10-26,43.990002,44.740002,43.740002,44.369999,43.899712,79700
2021-10-27,43.930000,44.459999,43.779999,43.959999,43.494061,93100
2021-10-28,45.700001,50.669998,45.700001,50.220001,49.687714,309000
2021-10-29,50.869999,52.439999,50.500000,51.450001,50.904671,198500
2021-11-01,51.509998,52.000000,49.590000,50.779999,50.241772,177600
2021-11-02,50.779999,50.779999,48.480000,48.619999,48.104671,152300
2021-11-03,48.369999,49.110001,48.220001,48.299999,47.788059,83200
2021-11-04,48.389999,48.720001,48.009998,48.439999,47.926575,71100
2021-11-05,48.970001,50.110001,48.910000,49.000000,48.480644,192600
2021-11-08,49.369999,50.639999,49.060001,49.869999,49.455467,175100
2021-11-09,50.049999,50.790001,49.400002,49.490002,49.078629,197100
2021-11-10,49.360001,50.070000,48.509998,48.779999,48.374527,134900
2021-11-11,48.860001,50.639999,48.849998,49.970001,49.554642,89900
2021-11-12,49.619999,50.730000,49.619999,50.419998,50.000896,86000
2021-11-15,50.450001,51.360001,50.189999,50.470001,50.050484,168500
2021-11-16,50.540001,51.700001,50.349998,51.570000,51.141338,115700
2021-11-17,51.310001,52.259998,51.209999,51.860001,51.428928,228600
2021-11-18,51.990002,52.599998,51.360001,51.740002,51.309929,127200
2021-11-19,51.480000,52.759998,51.480000,51.759998,51.329758,206400
2021-11-22,51.930000,53.320000,51.540001,52.639999,52.202442,210300
2021-11-23,52.939999,54.470001,52.939999,54.119999,53.670143,237600
2021-11-24,54.029999,55.020000,53.830002,53.860001,53.412304,175800
2021-11-26,52.900002,53.180000,51.919998,52.950001,52.509869,106400
2021-11-29,53.130001,53.259998,51.020000,51.150002,50.724831,160300
2021-11-30,51.000000,52.599998,50.810001,51.740002,51.309929,325400
2021-12-01,52.669998,53.430000,52.000000,52.070000,51.637180,200100
2021-12-02,52.080002,54.299999,52.040001,53.880001,53.432137,168100
2021-12-03,53.959999,54.029999,52.790001,53.259998,52.817291,179700
2021-12-06,53.580002,54.730000,52.980000,54.509998,54.056900,159200
2021-12-07,54.959999,56.560001,54.950001,55.459999,54.999001,186500
2021-12-08,55.830002,57.869999,55.619999,57.540001,57.061714,233500
2021-12-09,57.080002,58.330002,55.330002,55.439999,54.979168,215400
2021-12-10,55.299999,56.820000,55.299999,56.230000,55.762604,152000
2021-12-13,55.950001,57.270000,55.430000,56.160000,55.693184,202200
2021-12-14,55.990002,57.540001,55.520000,55.630001,55.167591,268900
2021-12-15,55.720001,58.209999,55.599998,57.529999,57.051796,276800
2021-12-16,57.779999,58.689999,57.590000,58.330002,57.845150,503800
2021-12-17,58.070000,60.110001,57.560001,59.419998,58.926086,483000
2021-12-20,59.259998,59.549999,56.000000,59.240002,58.747585,336000
2021-12-21,59.639999,60.970001,59.240002,60.889999,60.383869,190500
2021-12-22,60.880001,63.090000,60.880001,63.080002,62.555668,201500
2021-12-23,63.099998,63.900002,62.459999,62.660000,62.139153,255200
2021-12-27,63.090000,64.110001,62.099998,63.799999,63.269680,189400
2021-12-28,64.400002,66.290001,64.129997,64.989998,64.449791,142900
2021-12-29,65.199997,66.330002,64.830002,65.910004,65.362144,134300
2021-12-30,65.910004,66.330002,64.410004,64.489998,63.953949,129700
2021-12-31,64.870003,65.379997,64.419998,64.440002,63.904366,204200
2022-01-03,64.639999,65.160004,61.049999,61.740002,61.226807,180800
2022-01-04,61.959999,62.990002,61.389999,61.500000,60.988800,146400
2022-01-05,61.470001,61.650002,58.810001,59.119999,58.628582,230900
2022-01-06,58.919998,59.869999,58.160000,59.470001,58.975674,115900
2022-01-07,59.200001,59.459999,57.759998,57.970001,57.488140,108200
2022-01-10,57.430000,57.570000,56.389999,57.400002,56.922882,122900
2022-01-11,57.360001,57.360001,56.340000,57.320000,56.843544,117100
2022-01-12,57.330002,58.360001,56.990002,57.830002,57.349308,210500
2022-01-13,58.279999,58.470001,57.349998,58.189999,57.706310,81100
2022-01-14,57.750000,58.310001,57.310001,58.099998,57.617058,139300
2022-01-18,57.799999,57.799999,55.610001,55.720001,55.256844,122500
2022-01-19,56.049999,56.049999,54.630001,54.660000,54.205650,204300
2022-01-20,54.750000,55.220001,52.349998,52.480000,52.043774,214900
2022-01-21,52.450001,53.029999,51.509998,52.080002,51.647099,210300
2022-01-24,51.299999,53.209999,50.279999,52.830002,52.390865,138000
2022-01-25,52.180000,52.540001,50.849998,50.900002,50.476910,125100
2022-01-26,51.639999,52.340000,49.369999,49.919998,49.505051,141600
2022-01-27,50.049999,50.799999,47.880001,48.130001,47.729935,144200
2022-01-28,48.389999,48.759998,46.799999,48.750000,48.344776,149000
2022-01-31,48.520000,50.320000,48.419998,50.320000,49.901726,134900
2022-02-01,50.340000,50.779999,49.020000,49.830002,49.415802,92400
2022-02-02,50.130001,50.130001,48.560001,49.349998,48.939789,122000
2022-02-03,48.790001,49.740002,48.619999,48.889999,48.483616,82500
2022-02-04,48.369999,49.340000,47.180000,48.689999,48.397137,188300
2022-02-07,49.049999,50.660000,49.049999,50.070000,49.768837,230400
2022-02-08,50.130001,51.150002,50.029999,50.900002,50.593845,173600
2022-02-09,51.540001,52.369999,51.529999,52.290001,51.975487,221700
2022-02-10,51.720001,52.310001,51.029999,51.310001,51.001381,189700
2022-02-11,51.450001,51.939999,50.080002,50.509998,50.206188,93900
2022-02-14,50.599998,51.630001,50.400002,50.799999,50.494446,193000
2022-02-15,51.700001,52.099998,50.939999,51.610001,51.299576,113100
2022-02-16,51.590000,51.849998,50.580002,51.090000,50.782703,104900
2022-02-17,50.840000,50.840000,49.099998,49.320000,49.023346,110600
2022-02-18,49.080002,49.950001,48.669998,49.500000,49.202267,130500
2022-02-22,49.080002,50.540001,48.970001,49.490002,49.192326,107200
2022-02-23,50.099998,50.320000,49.049999,49.480000,49.182384,125300
2022-02-24,48.349998,49.709999,47.070000,48.980000,48.685390,189600
2022-02-25,49.310001,50.369999,47.529999,50.340000,50.037212,136900
2022-02-28,49.799999,50.520000,48.950001,49.209999,48.914009,122800
2022-03-01,49.470001,50.490002,48.889999,49.889999,49.589920,166200
2022-03-02,50.070000,51.700001,50.070000,50.810001,50.504387,117700
2022-03-03,50.840000,51.380001,50.000000,50.570000,50.265831,89900
2022-03-04,49.959999,51.509998,49.590000,51.209999,50.901978,117400
2022-03-07,51.119999,51.889999,50.029999,50.660000,50.355289,141500
2022-03-08,50.560001,51.910000,50.509998,50.680000,50.375168,154100
2022-03-09,51.290001,52.040001,50.200001,50.490002,50.186314,191300
2022-03-10,49.990002,51.840000,49.990002,51.639999,51.329391,107200
2022-03-11,51.849998,52.889999,51.049999,51.160000,50.852280,104700
2022-03-14,51.310001,52.720001,51.160000,52.610001,52.293560,175300
2022-03-15,52.889999,53.910000,52.529999,53.360001,53.039047,137400
2022-03-16,53.990002,54.750000,53.529999,54.650002,54.321289,123000
2022-03-17,54.490002,54.900002,54.049999,54.130001,53.804417,100200
2022-03-18,54.189999,56.279999,54.020000,56.060001,55.722809,179200
2022-03-21,56.160000,56.160000,55.029999,55.250000,54.917679,97400
2022-03-22,55.389999,55.900002,55.020000,55.169998,54.838158,74300
2022-03-23,55.049999,55.049999,53.139999,53.349998,53.029106,128500
2022-03-24,53.369999,54.650002,52.950001,54.590000,54.261650,82200
2022-03-25,54.549999,54.939999,53.759998,54.860001,54.530025,83700
2022-03-28,55.090000,55.200001,53.709999,54.220001,53.893875,74600
2022-03-29,54.730000,54.840000,52.770000,52.919998,52.601692,123300
2022-03-30,52.700001,53.290001,52.380001,52.849998,52.532112,283600
2022-03-31,53.080002,54.099998,52.560001,53.330002,53.009232,209300
2022-04-01,53.279999,53.279999,51.150002,52.490002,52.174282,134200
2022-04-04,52.400002,52.509998,50.840000,52.330002,52.015244,108500
2022-04-05,52.250000,53.169998,52.000000,52.619999,52.303497,111900
2022-04-06,52.500000,52.790001,50.919998,51.110001,50.802582,103300
2022-04-07,51.090000,52.000000,50.849998,51.610001,51.299576,68700
2022-04-08,51.500000,52.470001,51.389999,51.619999,51.309513,92800
2022-04-11,51.459999,51.630001,50.830002,50.880001,50.573967,49900
2022-04-12,51.310001,52.070000,51.279999,51.529999,51.220055,61700
2022-04-13,51.490002,52.209999,51.020000,52.000000,51.687229,76700
2022-04-14,52.290001,52.619999,51.779999,51.880001,51.567955,74300
2022-04-18,51.799999,52.650002,51.619999,52.209999,51.895966,53100
2022-04-19,52.049999,53.630001,52.049999,53.139999,52.820370,68700
2022-04-20,53.439999,53.950001,52.709999,52.990002,52.671276,82300
2022-04-21,53.279999,53.680000,52.020000,52.270000,51.955605,57600
2022-04-22,52.020000,52.070000,49.410000,49.590000,49.291725,262600
2022-04-25,49.049999,49.790001,48.349998,49.730000,49.430885,120400
2022-04-26,49.439999,50.419998,48.310001,48.480000,48.188400,80400
2022-04-27,48.529999,49.110001,48.320000,48.619999,48.327557,114400
2022-04-28,49.630001,49.630001,44.360001,44.869999,44.600113,283800
2022-04-29,44.320000,44.599998,42.369999,42.889999,42.632023,193100
2022-05-02,43.049999,44.049999,41.320000,42.150002,41.896477,140100
2022-05-03,41.980000,42.040001,41.070000,41.570000,41.319962,139200
2022-05-04,42.139999,43.570000,41.580002,43.340000,43.079319,139900
2022-05-05,42.810001,42.950001,40.880001,41.490002,41.240444,85600
2022-05-06,41.330002,41.529999,40.220001,41.299999,41.163700,112400
2022-05-09,40.669998,40.799999,39.500000,40.070000,39.937759,171400
2022-05-10,40.230000,40.970001,39.150002,39.290001,39.160336,263400
2022-05-11,39.590000,40.700001,38.900002,38.990002,38.861324,212500
2022-05-12,39.110001,40.000000,38.610001,39.490002,39.359676,124400
2022-05-13,39.900002,40.549999,39.490002,39.520000,39.389576,74700
2022-05-16,39.380001,40.060001,39.169998,39.520000,39.389576,207400
2022-05-17,39.970001,40.830002,39.840000,40.669998,40.535778,93400
2022-05-18,40.139999,40.230000,38.509998,38.680000,38.552345,91300
2022-05-19,38.360001,39.160000,37.779999,38.500000,38.372940,117900
2022-05-20,38.709999,38.840000,37.330002,38.330002,38.203503,97700
2022-05-23,38.740002,39.330002,38.119999,38.709999,38.582245,103000
2022-05-24,39.070000,39.119999,38.000000,38.799999,38.671951,89800
2022-05-25,38.419998,39.740002,38.419998,39.160000,39.030762,114900
2022-05-26,39.570000,40.570000,39.419998,40.049999,39.917824,75200
2022-05-27,40.110001,40.759998,40.049999,40.419998,40.286602,93800
2022-05-31,40.220001,40.770000,39.529999,40.369999,40.236767,216100
2022-06-01,40.700001,41.220001,40.000000,40.869999,40.735119,84500
2022-06-02,40.939999,41.750000,40.900002,41.599998,41.462708,76600
2022-06-03,41.310001,41.330002,40.439999,40.639999,40.505878,71400
2022-06-06,40.930000,41.560001,40.220001,41.369999,41.233467,88000
2022-06-07,40.990002,41.939999,40.990002,41.889999,41.751751,70100
2022-06-08,41.709999,41.880001,40.919998,41.099998,40.964359,90900
2022-06-09,40.660000,41.330002,40.110001,40.919998,40.784950,139300
2022-06-10,40.259998,40.259998,39.099998,39.570000,39.439407,155600
2022-06-13,38.869999,38.869999,37.090000,37.340000,37.216770,180500
2022-06-14,37.299999,38.000000,37.150002,37.910000,37.784889,123900
2022-06-15,38.000000,38.820000,37.919998,38.380001,38.253338,186400
2022-06-16,37.840000,37.840000,35.689999,35.980000,35.861256,133400
2022-06-17,36.099998,36.349998,35.459999,35.639999,35.522377,233600
2022-06-21,36.349998,37.759998,36.139999,37.740002,37.615452,120400
2022-06-22,37.009998,37.619999,36.500000,36.880001,36.758289,163100
2022-06-23,36.910000,37.570000,36.570000,37.560001,37.436043,136900
2022-06-24,37.639999,39.400002,37.639999,39.400002,39.269970,602800
2022-06-27,39.610001,39.980000,38.630001,39.810001,39.678619,127200
2022-06-28,40.070000,40.630001,39.320000,39.340000,39.210167,146100
2022-06-29,39.430000,39.430000,38.720001,39.009998,38.881256,117100
2022-06-30,38.520000,39.650002,37.830002,39.650002,39.519146,155000
2022-07-01,39.419998,40.310001,39.340000,40.230000,40.097229,72500
2022-07-05,39.759998,40.009998,38.950001,39.930000,39.798222,76600
2022-07-06,40.080002,40.220001,39.200001,39.540001,39.409508,72100
2022-07-07,39.740002,40.349998,39.740002,39.939999,39.808186,56300
2022-07-08,39.900002,40.180000,39.580002,39.980000,39.848057,50000
2022-07-11,39.790001,40.099998,39.250000,39.369999,39.240067,47100
2022-07-12,39.250000,39.759998,39.090000,39.169998,39.040726,66100
2022-07-13,39.000000,39.340000,38.680000,39.080002,38.951027,70200
2022-07-14,38.549999,39.689999,38.450001,39.320000,39.190235,60400
2022-07-15,39.980000,40.869999,39.669998,40.389999,40.256702,65800
2022-07-18,40.849998,41.009998,39.439999,39.599998,39.469307,47800
2022-07-19,40.130001,41.209999,40.130001,41.110001,40.974327,73100
2022-07-20,40.980000,41.490002,40.669998,41.250000,41.113865,64900
2022-07-21,41.169998,42.520000,40.889999,42.520000,42.379673,60600
2022-07-22,42.580002,42.889999,41.990002,42.540001,42.399609,50200
2022-07-25,42.529999,43.169998,42.150002,42.910000,42.768387,205700
2022-07-26,42.910000,43.669998,42.810001,43.669998,43.525875,94100
2022-07-27,44.060001,44.520000,43.220001,44.049999,43.904625,112900
2022-07-28,39.009998,39.689999,35.240002,36.840000,36.718418,358500
2022-07-29,36.779999,36.840000,34.700001,36.279999,36.160267,250100
2022-08-01,35.939999,37.959999,35.540001,37.700001,37.575581,224600
2022-08-02,37.840000,40.380001,37.500000,38.660000,38.532413,233700
2022-08-03,38.650002,38.700001,35.810001,36.000000,35.881191,189700
2022-08-04,36.160000,36.369999,34.220001,34.240002,34.127003,143900
2022-08-05,34.540001,36.810001,34.320000,36.680000,36.680000,184500
2022-08-08,37.130001,37.650002,35.740002,35.820000,35.820000,164900
2022-08-09,36.200001,36.410000,35.639999,36.380001,36.380001,72600
